Embassy,Location,Neighborhood,Image,Notes,Flag_url,Image_url,Flag_height,Image_height,Flag_width,Image_width,Reference_url,Location_query,lat,lng
 Egypt,3521 International Court NW,North Cleveland Park,,50,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Egyptian_Embassy_Washington_DC_9521.JPG/150px-Egyptian_Embassy_Washington_DC_9521.JPG,15,112,23,150,http://www.egyptembassy.net,"3521 International Court NW, Washington, DC",38.9451003,-77.0680489
 El Salvador,1400 16th Street NW,Dupont Circle,,51,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/23px-Flag_of_El_Salvador.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Resources_and_Conservation_Center%2C_Washington%2C_DC.jpg/150px-Resources_and_Conservation_Center%2C_Washington%2C_DC.jpg,13,121,23,150,http://www.elsalvador.org,"1400 16th Street NW, Washington, DC",38.90904829999999,-77.03710629999999
 Equatorial Guinea,2020 16th Street NW,U Street Corridor,,52,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/23px-Flag_of_Equatorial_Guinea.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/2020_16th_Street%2C_NW.JPG/150px-2020_16th_Street%2C_NW.JPG,15,200,23,150,http://egembassydc.com,"2020 16th Street NW, Washington, DC",38.9175919,-77.0369039
 Eritrea,1708 New Hampshire Ave NW,Dupont Circle,,53,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/23px-Flag_of_Eritrea.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Embassy_of_Eritrea-US.jpg/150px-Embassy_of_Eritrea-US.jpg,12,253,23,150,http://www.embassyeritrea.org,"1708 New Hampshire Ave NW, Washington, DC",38.9130517,-77.0407017
 Estonia,2131 Massachusetts Avenue NW,Embassy Row,,54,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/23px-Flag_of_Estonia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Embassy_of_Estonia-Washington%2C_DC.jpg/150px-Embassy_of_Estonia-Washington%2C_DC.jpg,15,147,23,150,http://www.estemb.org,"2131 Massachusetts Avenue NW, Washington, DC",38.911919,-77.04853
 Ethiopia,3506 International Drive NW,North Cleveland Park,,55,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/23px-Flag_of_Ethiopia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/EthiopianEmbassyWashingtonDC.jpg/150px-EthiopianEmbassyWashingtonDC.jpg,12,95,23,150,http://www.ethiopianembassy.org,"3506 International Drive NW, Washington, DC",38.9412441,-77.0669247
 Fiji,2000 M Street NW,Downtown,,56,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/23px-Flag_of_Fiji.svg.png,https:,12,0,23,0,http://www.fijiembassydc.com,"2000 M Street NW, Washington, DC",38.9051637,-77.0453824
 Finland,3301 Massachusetts Avenue NW,Embassy Row,,57,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/23px-Flag_of_Finland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Finland_embassy_left.JPG/150px-Finland_embassy_left.JPG,14,113,23,150,http://www.finland.org/Public/Default.aspx,"3301 Massachusetts Avenue NW, Washington, DC",38.92446590000001,-77.0652063
 France,4101 Reservoir Road NW,Georgetown,,58,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/France%2C_Washington.JPG/150px-France%2C_Washington.JPG,15,82,23,150,http://www.ambafrance-us.org,"4101 Reservoir Road NW, Washington, DC",38.9140356,-77.0785377
 Gabon,2034 20th Street NW,Adams Morgan,,59,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/20px-Flag_of_Gabon.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Embassy_of_Gabon_in_the_United_States.JPG/150px-Embassy_of_Gabon_in_the_United_States.JPG,15,132,20,150,http://www.gabonembassyusa.org,"2034 20th Street NW, Washington, DC",38.9179867,-77.04576469999999
